"","cluster","hhnum_percluster","hhid","year","int_year","int_month","passage","season","admin1","admin2","hhsize","pcexp","pcexp_food","pcexp_nonfood","latitude","longitude","zae"
"170",10,17,10170,2011,2011,11,2,2,1,NA,4,103231.5859375,110079.8125,6518.38232421875,15.5215096057,7.03498515587,4
"171",10,17,10170,2014,2014,10,1,2,1,NA,3,82133.25,91898.125,869.88818359375,15.5215096057,7.03498515587,4
"172",10,17,10170,2014,2015,2,2,3,1,NA,3,202318.46875,226106.625,2408.38696289062,15.5215096057,7.03498515587,4
"173",10,18,10180,2011,2011,11,2,2,1,NA,7,52673.171875,56887.55859375,2605.83056640625,15.5215096057,7.03498515587,4
"174",10,18,10180,2011,2011,8,1,1,1,NA,7,105301.0234375,114423.421875,4512.16455078125,15.5215096057,7.03498515587,4
"175",10,18,10180,2014,2014,10,1,2,1,NA,7,220935.90625,244571.171875,4971.8994140625,15.5215096057,7.03498515587,4
"176",10,18,10180,2014,2015,2,2,3,1,NA,7,168907.28125,183239.203125,7538.49658203125,15.5215096057,7.03498515587,4
"177",11,1,11001,2018,2018,10,1,NA,1,12,6,236296.53125,100496,135800.53125,18.7111262,7.3389675,4
"178",11,2,11002,2018,2018,10,1,NA,1,12,7,431775.34375,179704.734375,252070.609375,18.7111262,7.3389675,4
"179",11,3,11003,2018,2018,10,1,NA,1,12,4,450456.0625,221587.359375,228868.703125,18.7111262,7.3389675,4
"180",11,4,11004,2018,2018,10,1,NA,1,12,5,319575.625,199171.609375,120404.015625,18.7111262,7.3389675,4
"181",11,5,11005,2018,2018,10,1,NA,1,12,6,342462.40625,195965.015625,146497.390625,18.7111262,7.3389675,4
"182",11,6,11006,2018,2018,10,1,NA,1,12,1,611838.0625,359078.09375,252759.96875,18.7111262,7.3389675,4
"183",11,7,11007,2018,2018,10,1,NA,1,12,4,822697.5,379901.03125,442796.46875,18.7111262,7.3389675,4
"184",11,8,11008,2018,2018,10,1,NA,1,12,3,308227.96875,212503.921875,95724.046875,18.7111262,7.3389675,4
"185",11,9,11009,2018,2018,10,1,NA,1,12,6,279143.59375,187684.1875,91459.40625,18.7111262,7.3389675,4
"186",11,10,11010,2018,2018,10,1,NA,1,12,3,715661.125,320285.59375,395375.53125,18.7111262,7.3389675,4
"187",11,11,11011,2018,2018,10,1,NA,1,12,9,264753.375,81061.5,183691.875,18.7111262,7.3389675,4
"188",11,12,11012,2018,2018,10,1,NA,1,12,8,250641.375,91395.2578125,159246.109375,18.7111262,7.3389675,4
"189",12,1,12001,2018,2019,6,1,NA,1,12,4,242672.625,118582.34375,124090.28125,18.1307484,6.7964757,4
"190",12,2,12002,2018,2019,6,1,NA,1,12,1,603589.875,392279.65625,211310.21875,18.1307484,6.7964757,4
"191",12,3,12003,2018,2019,6,1,NA,1,12,8,108678.296875,56986.66015625,51691.63671875,18.1307484,6.7964757,4
"192",12,4,12004,2018,2019,6,1,NA,1,12,6,184262.90625,97021.765625,87241.140625,18.1307484,6.7964757,4
"193",12,5,12005,2018,2019,6,1,NA,1,12,3,347789.1875,259577.078125,88212.109375,18.1307484,6.7964757,4
"194",12,8,12008,2018,2019,6,1,NA,1,12,3,305657.46875,203489.15625,102168.3125,18.1307484,6.7964757,4
"195",12,1,12010,2011,2011,11,2,2,1,NA,10,220326.3125,207948.109375,40906.44921875,17.7574203895,7.98335337751,4
"196",12,1,12010,2011,2011,7,1,1,1,NA,11,218223.578125,199554.71875,46924.83203125,17.7574203895,7.98335337751,4
"197",12,1,12010,2014,2014,10,1,2,1,NA,8,185441.484375,182142.5625,27310.216796875,17.7574203895,7.98335337751,4
"198",12,1,12010,2014,2015,2,2,3,1,NA,8,317104.3125,317344.59375,40818.9296875,17.7574203895,7.98335337751,4
"199",12,11,12011,2018,2019,6,1,NA,1,12,5,149473.34375,110030.4609375,39442.88671875,18.1307484,6.7964757,4
"200",12,12,12012,2018,2019,6,1,NA,1,12,7,195180.625,131524.96875,63655.66015625,18.1307484,6.7964757,4
"201",12,14,12014,2018,2019,6,1,NA,1,12,4,235882.984375,170572.5,65310.484375,18.1307484,6.7964757,4
"202",12,15,12015,2018,2019,6,1,NA,1,12,8,96276.4296875,53288,42988.4296875,18.1307484,6.7964757,4
"203",12,16,12016,2018,2019,6,1,NA,1,12,2,262589.9375,210941.328125,51648.6015625,18.1307484,6.7964757,4
"204",12,2,12020,2011,2011,11,2,2,1,NA,11,109741.953125,102462.6796875,21488.861328125,17.7574203895,7.98335337751,4
"205",12,2,12020,2011,2011,7,1,1,1,NA,11,185436.765625,193849.609375,15597.849609375,17.7574203895,7.98335337751,4
"206",12,2,12020,2014,2014,10,1,2,1,NA,9,203250.03125,145052.5625,84514.6484375,17.7574203895,7.98335337751,4
"207",12,2,12020,2014,2015,2,2,3,1,NA,9,253444.765625,261656.5,24604.73046875,17.7574203895,7.98335337751,4
"208",12,3,12030,2011,2011,7,1,1,1,NA,9,184557.515625,144592.46875,63861.8828125,17.7574203895,7.98335337751,4
"209",12,3,12030,2011,2011,11,2,2,1,NA,8,115348.5703125,112057.0703125,18227.0390625,17.7574203895,7.98335337751,4
"210",12,3,12030,2014,2015,2,2,3,1,NA,8,393926.21875,426407.25,18525.2265625,17.7574203895,7.98335337751,4
"211",12,7,12070,2011,2011,7,1,1,1,NA,12,62443.15625,61102.94921875,9425.4580078125,17.7574203895,7.98335337751,4
"212",12,7,12070,2011,2011,11,2,2,1,NA,10,141654.65625,149643.734375,10352.626953125,17.7574203895,7.98335337751,4
